property_id,district,area_m2,bedrooms,listing_price,listing_ppm,source,expert_1_low,expert_1_mid,expert_1_high,expert_1_conf,expert_1_comment,expert_2_low,expert_2_mid,expert_2_high,expert_2_conf,expert_2_comment,expert_3_low,expert_3_mid,expert_3_high,expert_3_conf,expert_3_comment
1496,Quận Cầu Giấy,30.0,2,1400000000,46666667,nhatot.com,72000000,85000000,102000000,0.88,"Cầu Giấy 30m2 studio, metro proximity, tight supply",68000000,80000000,96000000,0.78,"Cầu Giấy small unit, supply tight, moderate liquidity",65000000,78000000,94000000,0.65,"Cầu Giấy mini, limited data, market active"
38,Quận Cầu Giấy,51.0,2,5100000000,100000000,alonhadat.com.vn,76500000,90000000,108000000,0.88,"Cầu Giấy 51m2 2BR, prime project, high demand",72000000,85000000,102000000,0.78,"Cầu Giấy 51m2 2BR, active market, mid-tier project",68000000,81000000,98000000,0.65,"Cầu Giấy 51m2, moderate data coverage"
1509,Quận Cầu Giấy,53.0,2,4505000000,85000000,estimated,76000000,90000000,108000000,0.86,"Cầu Giấy 53m2 2BR, near center, active market",72000000,85000000,102000000,0.78,"Cầu Giấy 53m2 2BR, comparable to 51m2 pricing",68000000,81000000,98000000,0.65,"Cầu Giấy 53m2, similar to 51m2"
2597,Quận Cầu Giấy,55.0,2,4565000000,83000000,estimated,74500000,88000000,105600000,0.85,"Cầu Giấy 55m2 2BR, metro-adjacent, stable pricing",70000000,83000000,99600000,0.77,"Cầu Giấy 55m2 2BR, slight size premium",66000000,79000000,95000000,0.65,"Cầu Giấy 55m2, slight size premium"
22,Quận Cầu Giấy,90.0,3,7020000000,78000000,estimated,70000000,82000000,98000000,0.87,"Đống Đa 90m2 3BR, central premium, prime location",66000000,78000000,94000000,0.82,"Đống Đa 90m2 3BR, central premium, high demand",62000000,74000000,90000000,0.72,"Đống Đa 90m2 3BR central, good market data"
3046,Quận Cầu Giấy,100.0,3,7400000000,74000000,estimated,66000000,78000000,94000000,0.84,"Cầu Giấy 100m2 3BR, large format, moderate premium",63000000,74000000,89000000,0.77,"Cầu Giấy 100m2 3BR, large format, moderate premium",59000000,71000000,86000000,0.65,"Cầu Giấy 100m2, limited large-format data"
2611,Quận Cầu Giấy,104.0,3,7488000000,72000000,estimated,64500000,76000000,91000000,0.84,"Cầu Giấy 104m2 3BR, mid-size luxury",61000000,72000000,87000000,0.77,"Cầu Giấy 104m2 3BR, mid-size, market average",58000000,70000000,85000000,0.65,"Cầu Giấy 104m2, moderate coverage"
2680,Quận Cầu Giấy,104.0,3,7488000000,72000000,estimated,64500000,76000000,91000000,0.84,"Cầu Giấy 104m2 3BR, mid-size luxury",61000000,72000000,87000000,0.77,"Cầu Giấy 104m2 3BR, mid-size, market average",58000000,70000000,85000000,0.65,"Cầu Giấy 104m2, moderate coverage"
3032,Quận Cầu Giấy,120.0,3,9300000000,77500000,alonhadat.com.vn,62000000,73000000,88000000,0.86,"Cầu Giấy 120m2 3BR, luxury, metro nearby, lower ppm",59000000,70000000,84000000,0.78,"Cầu Giấy 120m2 3BR, large luxury, lower ppm for size",56000000,67000000,82000000,0.66,"Cầu Giấy 120m2, large format, lower ppm trend"
2701,Quận Cầu Giấy,123.8,3,17500000000,141357027,nhatot.com,76500000,90000000,108000000,0.87,"Cầu Giấy 124m2 3BR premium, high spec, large size",73000000,86000000,103000000,0.79,"Cầu Giấy 124m2 3BR premium, high spec project",69000000,83000000,100000000,0.66,"Cầu Giấy 124m2 premium, some high-value comps"
