property_id,district,area_m2,bedrooms,listing_price,listing_ppm,source,expert_1_low,expert_1_mid,expert_1_high,expert_1_conf,expert_1_comment,expert_2_low,expert_2_mid,expert_2_high,expert_2_conf,expert_2_comment,expert_3_low,expert_3_mid,expert_3_high,expert_3_conf,expert_3_comment
3032,Quận Cầu Giấy,120.0,3,9300000000.0,77500000.0,alonhadat.com.vn,,,,,,,,,,,,,,,
2701,Quận Cầu Giấy,123.8,3,17500000000.0,141357027.0,nhatot.com,,,,,,,,,,,,,,,
25,Quận Cầu Giấy,124.0,3,17500000000.0,141129032.0,alonhadat.com.vn,,,,,,,,,,,,,,,
26,Quận Cầu Giấy,126.0,3,12000000000.0,95238095.0,alonhadat.com.vn,,,,,,,,,,,,,,,
1496,Quận Cầu Giấy,30.0,2,1400000000.0,46666667.0,batdongsan.com.vn,,,,,,,,,,,,,,,
38,Quận Cầu Giấy,51.0,2,5100000000.0,100000000.0,alonhadat.com.vn,,,,,,,,,,,,,,,
1509,Quận Cầu Giấy,53.0,2,2750000000.0,51886792.0,batdongsan.com.vn,,,,,,,,,,,,,,,
2597,Quận Cầu Giấy,55.0,2,2980000000.0,54181818.0,batdongsan.com.vn,,,,,,,,,,,,,,,
33,Quận Cầu Giấy,60.0,3,6350000000.0,105833333.0,alonhadat.com.vn,,,,,,,,,,,,,,,
34,Quận Cầu Giấy,60.0,3,6350000000.0,105833333.0,alonhadat.com.vn,,,,,,,,,,,,,,,
2600,Quận Cầu Giấy,82.0,3,4500000000.0,54878049.0,batdongsan.com.vn,,,,,,,,,,,,,,,
2669,Quận Cầu Giấy,82.0,3,4500000000.0,54878049.0,batdongsan.com.vn,,,,,,,,,,,,,,,
39,Quận Cầu Giấy,85.0,3,7500000000.0,88235294.0,alonhadat.com.vn,,,,,,,,,,,,,,,
27,Quận Cầu Giấy,86.0,3,5800000000.0,67441860.0,alonhadat.com.vn,,,,,,,,,,,,,,,
22,Quận Cầu Giấy,90.0,3,8700000000.0,96666667.0,alonhadat.com.vn,,,,,,,,,,,,,,,
3046,Quận Cầu Giấy,100.0,3,11000000000.0,110000000.0,alonhadat.com.vn,,,,,,,,,,,,,,,
2611,Quận Cầu Giấy,104.0,3,4280000000.0000005,41153846.0,batdongsan.com.vn,,,,,,,,,,,,,,,
2680,Quận Cầu Giấy,104.0,3,4280000000.0000005,41153846.0,batdongsan.com.vn,,,,,,,,,,,,,,,
